dane,ExpectativasAcademicas,Comunicacion,Participacion,SeguridadRespeto,tema_matematica,tema_lenguaje,prmat_alto_07_p,prlen_alto_07_p,tema_lenguaje_d,tema_matematica_d,prmat_alto_10_p,prlen_alto_10_p,Progresolen11,Progresomat11,aprobación5,aprobación9,rtextra,Progresolen5,Progresolen9,Progresomat5,Progresomat9,avanzado_m9,avanzado_m5,avanzado_l9,avanzado_l5
105001011011,60.7964,56.01826,52.84317,61.31276,44.48,47.14,0,0,46.215,39.53,0,0,59.07509,31.33151,97.61904,88.88889,85.29411,41.18396,,41.7218,,0,7,0,11
105001011061,72.15289,67.11811,65.57767,65.62862,44.48,47.14,0,1.492537,48.28,47.59,0,0,77.83028,56.63058,98.83721,93.25843,100,57.33993,68.34874,56.18396,64.82014,0,8,5,14
105001011070,80.02045,76.57378,75.05121,71.53479,44.48,47.14,0,0,46.16,42.33,0,0,37.6129,50.85007,94.31159,85.71429,90.32258,51.45984,56.63733,51.99142,40.91838,0,3,1,4
105001011088,71.54013,69.18002,69.72356,68.36,44.48,45.01,1.388889,0,45.105,40.93,0,0,50.71114,50.51004,91.30435,89.90826,95,51.26425,53.76843,50.78222,52.44948,0,0,0,6
105001011363,75.48724,70.3642,67.89536,71.02391,44.48,45.01,0,0,46.27,42.33,0,0,51.93589,50.85007,98.36066,81.76796,95.04132,,57.58552,,57.26945,0,2,0,4
105001011461,72.49315,70.786,68.66703,71.37663,,,,,46.27,42.42,0,0,,,,91.35802,91.83673,53.85471,,53.01474,,0,5,2,10
105001011606,71.72633,67.45187,66.48869,64.68354,44.48,49.19,1.25,0,46.27,42.42,1.333333,0,42.87234,52.55022,91.1324,89.43089,90.66666,50.88342,62.31734,54.19811,57.18512,1,7,5,4
105001011631,68.59856,63.09319,65.05945,64.7989,44.48,49.19,0,0,46.27,43.715,.6024096,0,42.87234,54.50539,95.83333,81.25,95.18073,,41.47301,,45.73651,1,30,1,20
105001011690,72.70512,69.2204,66.77245,63.05577,44.48,42.76,0,0,46.16,42.33,.8474576,0,50.07258,50.85007,89.33333,66.95652,66.94915,,33.80439,,34.96122,0,7,0,0
105001011711,67.43496,64.38559,61.98971,64.17612,42.65,47.14,0,0,46.27,42.42,0,0,60.89011,51.94645,100,91,95.58823,68,59.73222,55.5658,40.75553,0,4,2,16
105001011886,71.61578,70.69577,68.29587,67.65337,44.48,49.19,0,0,48.28,45.01,2.352941,0,63.96815,54.67541,92.82375,95.80838,94.11765,,51.78106,,48.00392,0,3,0,2
105001012092,73.01017,69.3906,65.19685,67.83972,44.48,45.01,0,0,46.27,45.16,0,0,51.93589,55.95052,78.47787,91.12904,85.71429,28.19292,53.06027,41.93597,-48.00956,1,5,0,2
105001012106,71.6651,70.27631,64.35313,69.30361,44.48,45.01,0,0,46.16,42.33,0,0,50.86917,50.85007,98.88889,92.30769,74.05063,64.47213,66.8978,41.48867,63.51825,1,12,1,16
105001012165,72.45088,68.10714,68.43827,56.5976,44.48,45.01,0,0,44.05,42.42,1.960784,0,50.07902,52.55022,94.10409,90.38631,85.29411,,43.70256,,29.53332,0,1,0,3
105001012696,67.80783,64.82982,60.82832,63.35751,47.67,49.19,1.081081,0,46.16,45.16,0,0,33.25,49.75956,98.06451,69.65174,87.66234,,57.05376,,54.8172,0,6,0,10
105001012700,78.30194,78.1902,72.95653,63.46847,44.48,43.885,0,0,45.105,39.53,0,0,50.57104,31.33151,71.08434,81.875,38.63636,,50.53764,,50.36559,0,2,0,4
105001013013,69.49812,72.69357,67.834,62.75334,,,,,44.05,39.53,0,0,,,89.76378,72.61904,66,40.0196,,50.72992,,0,1,0,3
105001013072,66.05361,66.54422,67.11111,63.18429,44.48,47.14,0,0,44.05,40.93,0,0,10.08602,50.51004,87.25383,82.7957,93.10345,,20.7679,,26.81592,0,6,0,7
105001013145,76.15298,68.97577,68.5208,69.08673,46.075,49.19,0,0,50.31,47.59,0,0,83.17436,68.51821,90.8397,90.9091,94.31818,43.96825,62.59488,35.52787,50,4,10,8,12
105001013340,73.34827,64.12927,67.18286,60.52723,47.67,49.19,1.285047,.2336449,50.31,47.81,2.130177,.1183432,83.17436,79.39516,89.9715,78.40467,98.57988,,49.81158,,47.3621,2,12,4,17
105001013439,74.62337,67.94734,65.92876,66.42339,44.48,47.14,0,0,46.27,45.085,1.923077,0,60.89011,55.6955,97.26027,92.30769,92.30769,53.65401,52.58694,42.5039,3.836016,0,3,0,10
105001013447,69.9277,67.11388,67.41563,62.69451,46.075,45.01,0,0,43.93,42.33,0,0,42.5327,32.80204,98.80952,100,88.46153,19.08969,,19.22401,,0,0,0,2
105001013633,69.46674,65.62762,62.28751,64.02076,40.82,42.76,0,0,48.28,42.33,0,0,50.22043,50.05107,100,85.71429,88.2353,,39.92483,,37.40604,0,3,0,1
105001014052,65.13887,64.98358,62.73967,56.47221,44.48,45.01,0,0,46.16,42.33,0,1.204819,50.86917,50.85007,93.12222,81.57895,81.92771,,36.19682,,40.20419,0,1,0,1
105001014397,75.32943,69.19637,67.44762,67.97782,44.48,47.14,0,0,46.27,45.01,.6493506,0,60.89011,54.67541,91.66667,96.22642,94.15585,,44.14643,,39.75625,0,6,1,9
